schema_name,table_name,column_id,column_name,data_type,max_length,precision,scale,is_nullable,pk_name,pk_ordinal,fk_name,fk_ordinal,ref_schema_name,ref_table_name,ref_column_name
AdExperimentBronze,Experiment,1,ExperimentIdentifier,varchar,36,0,0,0,PK_Experiment,1,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,2,Name,varchar,200,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,3,ExperimentType,varchar,50,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,4,Description,varchar,500,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,5,ExperimentOwnerName,varchar,200,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,6,ExperimentOwnerIdentifier,varchar,36,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,7,ExperimentStatus,varchar,50,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,8,ScheduledStartDateUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,9,ScheduledEndDateUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,10,ActualExperimentEndTimestampUtc,datetime2,8,26,6,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,11,Suffix,varchar,50,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,12,IsSyncEnabled,bit,1,1,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,13,SourceName,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,14,SourceInstance,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,15,AzureIdentifier,varchar,36,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,16,IsAutomation,bit,1,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,17,SourceChangedTimestampUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,18,CreatedTimestampUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,Experiment,19,UpdatedTimestampUtc,datetime2,8,26,6,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentArm,1,ExperimentArmIdentifier,varchar,36,0,0,0,PK_ExperimentArm,1,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentArm,2,ExperimentIdentifier,varchar,36,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentArm,3,Name,varchar,100,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
AdExperimentBronze,ExperimentArm,4,Description,varchar,500,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
