TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,DATETIME_PRECISION,IS_NULLABLE
AdExperimentBronze,Experiment,ExperimentIdentifier,1,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,Name,2,varchar,200,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,ExperimentType,3,varchar,50,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,Description,4,varchar,500,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,ExperimentOwnerName,5,varchar,200,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,ExperimentOwnerIdentifier,6,varchar,36,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,ExperimentStatus,7,varchar,50,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,ScheduledStartDateUtc,8,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,Experiment,ScheduledEndDateUtc,9,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,Experiment,ActualExperimentEndTimestampUtc,10,datetime2,NULL,NULL,NULL,6,YES
AdExperimentBronze,Experiment,Suffix,11,varchar,50,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,IsSyncEnabled,12,bit,NULL,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,SourceName,13,varchar,100,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,SourceInstance,14,varchar,100,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,AzureIdentifier,15,varchar,36,NULL,NULL,NULL,YES
AdExperimentBronze,Experiment,IsAutomation,16,bit,NULL,NULL,NULL,NULL,NO
AdExperimentBronze,Experiment,SourceChangedTimestampUtc,17,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,Experiment,CreatedTimestampUtc,18,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,Experiment,UpdatedTimestampUtc,19,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,ExperimentArm,ExperimentArmIdentifier,1,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArm,ExperimentIdentifier,2,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArm,Name,3,varchar,100,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArm,Description,4,varchar,500,NULL,NULL,NULL,YES
AdExperimentBronze,ExperimentArm,IsControl,5,bit,NULL,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,ExperimentArmIdentifier,1,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,AdNetwork,2,varchar,50,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,CampaignId,3,bigint,NULL,19,0,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,ExperimentIdentifier,4,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,ExperimentArmCampaignStatus,5,varchar,50,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,PlatformExperimentId,6,bigint,NULL,19,0,NULL,YES
AdExperimentBronze,ExperimentArmCampaign,PlatformExperimentArmId,7,bigint,NULL,19,0,NULL,YES
AdExperimentBronze,ExperimentArmCampaign,BaseCampaignId,8,bigint,NULL,19,0,NULL,YES
AdExperimentBronze,ExperimentArmCampaign,IsControlArm,9,bit,NULL,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,SourceName,10,varchar,100,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,SourceInstance,11,varchar,100,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,AzureIdentifier,12,varchar,36,NULL,NULL,NULL,YES
AdExperimentBronze,ExperimentArmCampaign,IsAutomation,13,bit,NULL,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentArmCampaign,SourceChangedTimestampUtc,14,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,ExperimentArmCampaign,CreatedTimestampUtc,15,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,ExperimentArmCampaign,UpdatedTimestampUtc,16,datetime2,NULL,NULL,NULL,6,NO
AdExperimentBronze,ExperimentLabel,ExperimentIdentifier,1,varchar,36,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentLabel,Name,2,varchar,200,NULL,NULL,NULL,NO
AdExperimentBronze,ExperimentLabel,Value,3,varchar,-1,NULL,NULL,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,ActivityDatePst,1,date,NULL,NULL,NULL,0,NO
Archive_Tix_Performance,Reports_DailySummary,NetworkRevenue,2,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,PhoneOrderCount,3,int,NULL,10,0,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,PhoneOrdersRevenue,4,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmGrossRevenue,5,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmNetCommission,6,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmCost,7,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmPpcCost,8,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmOrderCount,9,int,NULL,10,0,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,AdWordsTicketsCenterRevenue,10,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,AdWordsTicketsCenterCost,11,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,AdWordsSeatsRevenue,12,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,AdWordsSeatsCost,13,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,BingAdsTicketsCenterRevenue,14,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,BingAdsTicketsCenterCost,15,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,BingAdsSeatsRevenue,16,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,BingAdsSeatsCost,17,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,GeminiTicketsCenterRevenue,18,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,GeminiTicketsCenterCost,19,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmNewsletterCost,20,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,RdmNewsletterRevenue,21,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,VividNewsletterProfit,22,decimal,NULL,19,2,NULL,NO
Archive_Tix_Performance,Reports_DailySummary,UncategorizedTicketsCenterRevenue,23,decimal,NULL,19,2,NULL,NO
