TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_NAME,CONSTRAINT_TYPE,COLUMN_NAME,ORDINAL_POSITION
AdExperimentBronze,Experiment,PK_Experiment,PRIMARY KEY,ExperimentIdentifier,1
AdExperimentBronze,ExperimentArm,PK_ExperimentArm,PRIMARY KEY,ExperimentArmIdentifier,1
AdExperimentBronze,ExperimentArmCampaign,PK_ExperimentArmCampaign,PRIMARY KEY,AdNetwork,1
AdExperimentBronze,ExperimentArmCampaign,PK_ExperimentArmCampaign,PRIMARY KEY,CampaignId,2
AdExperimentBronze,ExperimentArmCampaign,PK_ExperimentArmCampaign,PRIMARY KEY,ExperimentArmIdentifier,3
AdExperimentBronze,ExperimentLabel,PK_ExperimentLabel,PRIMARY KEY,ExperimentIdentifier,1
AdExperimentBronze,ExperimentLabel,PK_ExperimentLabel,PRIMARY KEY,Name,2
Archive_Tix_Performance,Reports_DailySummary,PK_DailySummary,PRIMARY KEY,ActivityDatePst,1
EventTicketModelBronze,EventCluster,PK_EventCluster,PRIMARY KEY,EventClusterId,1
EventTicketModelBronze,Onsale,PK_Onsale,PRIMARY KEY,EventId,1
EventTicketModelBronze,Onsale,PK_Onsale,PRIMARY KEY,OnsaleTimestampUtc,2
EventTicketModelBronze,Onsale,PK_Onsale,PRIMARY KEY,OnsaleType,3
GoTicketsAdManagementBronze,AdGroupForEventClusterAttributes,PK_AdGroupForEventClusterAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,AdGroupForPerformerAttributes,PK_AdGroupForPerformerAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,AdGroupForVenueAttributes,PK_AdGroupForVenueAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,CampaignPerEventClusterAttributes,PK_CampaignPerEventClusterAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,CampaignPerPerformerAttributes,PK_CampaignPerPerformerAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,CampaignPerVenueAttributes,PK_CampaignPerVenueAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,PK_GoogleAdsAdGroupForEventClusterAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,GoogleAdsAdGroupForPerformerAttributes,PK_GoogleAdsAdGroupForPerformerAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,PK_GoogleAdsAdGroupForVenueAttributes,PRIMARY KEY,AdGroupId,1
GoTicketsAdManagementBronze,GoogleAdsCampaignPerEventClusterAttributes,PK_GoogleAdsCampaignPerEventClusterAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,PK_GoogleAdsCampaignPerPerformerAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,PK_GoogleAdsCampaignPerVenueAttributes,PRIMARY KEY,CampaignId,1
GoTicketsAdManagementBronze,MarketingImage,PK_MarketingImage,PRIMARY KEY,MarketingImageId,1
GoTicketsAdManagementBronze,MarketingImageCategory,PK_MarketingImageCategory,PRIMARY KEY,CategoryId,1
GoTicketsAdManagementBronze,MarketingImageCategory,PK_MarketingImageCategory,PRIMARY KEY,MarketingImageId,2
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,PK_MarketingImageGoogleAdsImageAsset,PRIMARY KEY,AccountId,1
GoTicketsAdManagementBronze,MarketingImageGoogleAdsImageAsset,PK_MarketingImageGoogleAdsImageAsset,PRIMARY KEY,MarketingImageId,2
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,PK_MarketingImageMicrosoftAdsImageAdExtension,PRIMARY KEY,AccountId,1
