TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE
GoTicketsCoreEntity,Event,BASE TABLE
GoTicketsBiddingMetric,GoogleAdsCampaignBidChangeHistory,BASE TABLE
GoTicketsMembership,GoogleAdsAdGroupMembershipHistory,BASE TABLE
GoTicketsBiddingMetric,MicrosoftAdsCampaignBidChange,BASE TABLE
GoTicketsCoreEntity,Category,BASE TABLE
GoTicketsBiddingMetric,MicrosoftAdsAdGroupBidChangeHistory,BASE TABLE
GoTicketsCoreEntity,Venue,BASE TABLE
GoTicketsBiddingMetric,MicrosoftAdsCampaignBidChangeHistory,BASE TABLE
GoTicketsBronze,PartnerData,BASE TABLE
GoTicketsMembership,MicrosoftAdsAccountMembership,BASE TABLE
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChange,BASE TABLE
GoTicketsBiddingMetric,GoogleAdsAdGroupBidChangeHistory,BASE TABLE
GoTicketsBiddingMetric,MicrosoftAdsAdGroupBidChange,BASE TABLE
GoTicketsBronze,Order,BASE TABLE
Utility,DimCalendar,BASE TABLE
GoTicketsFunnelMetric,GoogleAdsFunnelMetricTrafficSource,BASE TABLE
GoTicketsFunnelMetric,MicrosoftAdsFunnelMetricTrafficSource,BASE TABLE
GoTicketsFunnelMetric,FunnelMetric,BASE TABLE
GoTicketsBronze,OnSalesData,BASE TABLE
GoTicketsCoreEntity,MicrosoftAdsCampaign,BASE TABLE
GoogleAdsBronze,AdGroupBidModifier,BASE TABLE
TixBiddingBronze,GoogleAdsCampaignCalculationLog,BASE TABLE
GoTicketsWebsiteBronze,FunnelMetric,BASE TABLE
TixBiddingBronze,MicrosoftAdsAdGroupCalculationLog,BASE TABLE
GoogleAdsBronze,CampaignCriterion,BASE TABLE
TixBiddingBronze,GoogleAdsAdGroupCalculationLog,BASE TABLE
TixBiddingBronze,MicrosoftAdsCampaignCalculationLog,BASE TABLE
GoTicketsReportingGoogleAds,CampaignBudget,BASE TABLE
TixBiddingBronze,GoogleAdsAdGroupBidModifierChange,BASE TABLE
GoTicketsEntityMap,EventMapHistory,BASE TABLE
GoTicketsBronze,ExchangeData,BASE TABLE
TixBiddingBronze,MicrosoftAdsAdGroupBidModifierChange,BASE TABLE
GoTicketsEntityMap,EventMap,BASE TABLE
TixBiddingBronze,GoogleAdsCampaignBidModifierChange,BASE TABLE
TixBiddingBronze,MicrosoftAdsCampaignBidModifierChange,BASE TABLE
GoTicketsExchangeMetric,AllTimeStandardExchangeMetric,BASE TABLE
Archive_Tix_Performance,Reports_DailySummary,BASE TABLE
MicrosoftAdsBronze,CampaignTargetRoas,BASE TABLE
GoTicketsExchangeMetric,AllTimeDetailedExchangeMetric,BASE TABLE
GoTicketsEntityMap,MicrosoftAdsCampaignEventMap,BASE TABLE
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAdExtension,BASE TABLE
GoTicketsAdManagementBronze,MarketingImageMicrosoftAdsImageAsset,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsAdGroupForEventClusterAttributes,BASE TABLE
GoTicketsEntityMap,GoogleAdsCampaignEventMap,BASE TABLE
GoTicketsAdManagementBronze,MicrosoftAdsCampaignPerPerformerAttributes,BASE TABLE
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForEventClusterAttributes,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsCampaignPerVenueAttributes,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsCampaignPerPerformerAttributes,BASE TABLE
GoTicketsAdManagementBronze,GoogleAdsAdGroupForVenueAttributes,BASE TABLE
GoTicketsReportingOrderEstimate,VenueOrderEstimate,BASE TABLE
GoTicketsAdManagementBronze,MicrosoftAdsAdGroupForPerformerAttributes,BASE TABLE
GoTicketsReportingOrderEstimate,EventClusterOrderEstimate,BASE TABLE
